label,child talk,parent talk
reflection,why do i have to,you 're wondering why
question,,do you know this color
reflection,they re bouncing,they re bouncing all over the place
labelled_praise,,good job building that house
labelled_praise,,nice job cleaning up
command,,i hope we can finish the puzzle
labelled_praise,,good place to put that block
command,,let 's play with mr potato head now
question,,know where the lion is
behavior_description,look at this nice and shiny car,mmm
command,,shhh
behavior_description,,you are putting the green block on the blue block
reflection,"and but , it can make for the bake sale","oh , it s for the bake sale"
question,where is the block,where is the block
neutral_talk,,hmmm
behavior_description,,oh you put the stick on
command,,give me a red car
neutral_talk,not yet,sometimes they are hard to stay in
neutral_talk,,i do n't know where to find that
neutral_talk,,i wish daddy could join us
unlabelled_praise,,oh that s good
negative_talk,,quit getting up from the table
command,,put the bin by the wall
neutral_talk,what letters are in my name,there are lots of letters in your name
labelled_praise,,you did such a great job cleaning up for me
reflection,i'm mad at you,you 're angry with me
behavior_description,,you are playing with the whole track
unlabelled_praise,,looks good
behavior_description,,i see you are jumping
behavior_description,i put a big red block on top,you put a green block on top
behavior_description,,you dumped all the blocks out
neutral_talk,,i am
unlabelled_praise,,perfect
question,,you 're a good girl are n't you
behavior_description,,you 're making the car race down the track
question,,you 're putting it over there
neutral_talk,i ca n't put the puzzle together,you 're frustrated with this puzzle
negative_talk,,do n't be ugly
neutral_talk,draws a picture of a snake,the snake has a long tongue
reflection,the trees need to be green (as child colors trees green),green trees
neutral_talk,,i wonder what you 're doing
neutral_talk,,sorry
neutral_talk,,lots of cards
behavior_description,,you 're adding lots of polka dots in your drawing
negative_talk,draws a spider,ew you drew a spider
question,,does syrup go on all that
behavior_description,,you are moving your car fast
behavior_description,,you 're running around the room
question,,do n't you want to sit down with me
command,,say thank you
neutral_talk,,his arms are long
negative_talk,,toys do n't go in your mouth
neutral_talk,,thank you for sharing that potato head
command,,put the lid on the box
labelled_praise,,thanks for making this for me
command,,watch out
negative_talk,,no do n't throw that
neutral_talk,,the queen is on top of the tower
question,what are we having for dinner,what do you want to eat
behavior_description,,you got the blocks out
negative_talk,playing with animals,the lion does n't make that noise
labelled_praise,,good job making that tower
question,oh,when do they start going down
neutral_talk,you can have eight,"okay , so how many more do i need then"
negative_talk,,terrible terrible
behavior_description,,i see you smiling
behavior_description,i'm drawing a tree,you are drawing it
reflection,now we have two,now we just have two
question,,which one is mine
question,,do you want to play
labelled_praise,,that is very pretty
command,,can you give me the green one
negative_talk,,do n't put it there yet
command,,"now , let s put monster trucks in here"
reflection,the car is going fast,that car is going fast
reflection,here 's ernie he 's fixing the car,ernie 's working on the car
reflection,this is a stupid toy,you think these legos are dumb
neutral_talk,,"ah , there he goes"
neutral_talk,daddy said i my bedtime is 10 00,daddy said your bedtime is 9 00
neutral_talk,so that s funny,that is funny
neutral_talk,i do n't like these toys,i ca n't decide what to play with today
unlabelled_praise,,impressive
neutral_talk,,i'm going to use the red crayon
neutral_talk,,i m clean as a whistle
neutral_talk,,i also forgot the cupcakes and the soda
behavior_description,,we 're getting it to fit
question,,do you want to do another one of these
question,,are you having fun
behavior_description,,you made a valentine
command,,shut the door
negative_talk,,you ca n't use this paper
command,,please use your indoor voice
question,do you want to play,you want me to play with you
neutral_talk,and we need another cup,oh
reflection,what is that,you 're wondering what that is
neutral_talk,yes,okay
labelled_praise,,thank you for helping me
unlabelled_praise,,i like it
negative_talk,,you did it wrong
question,,what was the last word
labelled_praise,,thank you for picking up the toys
neutral_talk,um,peas
negative_talk,,that was slow
reflection,i drew a house,you drew a house with shutters
neutral_talk,,"well , the playdoh can be for either anybody"
reflection,a b goes next,b
behavior_description,,you poured juice in the cup
question,i want to go home,do you want to go home
command,,would you read that last word again
question,let 's go to the park,should we go to the park after school or after snack
behavior_description,,you put the cow in the farm
neutral_talk,,hello mr potato head
behavior_description,,you are smiling
labelled_praise,,thank you for sitting quietly on your bottom
neutral_talk,,i ll put them in a cup
neutral_talk,what 's she saying in the ear piece,she 's not saying anything right now
behavior_description,,you 're pushing the blue car
command,,put the toys away
negative_talk,no i want to color,you never let me pick what we play
behavior_description,,you pushed the car fast
neutral_talk,i think i m playing with him too,yeah
neutral_talk,bert 's driving to the market,you mean ernie 's driving to the market
command,,make a sound like a cow
neutral_talk,,if you put another one on there will be five
command,should i put it here,yes put it here
question,what color is this,what color do you think it is
behavior_description,,you 're sitting quietly
negative_talk,,don t eat it
behavior_description,,you added eyes to mr potato
