Speaker,Utterance
parent,i ll put them in a cup
child,what 's she saying in the ear piece
parent,she 's not saying anything right now
parent,you 're pushing the blue car
parent,put the toys away
child,no i want to color
parent,you never let me pick what we play
parent,you pushed the car fast
child,i think i m playing with him too
parent,yeah
child,bert 's driving to the market
parent,you mean ernie 's driving to the market
parent,make a sound like a cow
parent,if you put another one on there will be five
child,should i put it here
parent,yes put it here
child,what color is this
parent,what color do you think it is
parent,you 're sitting quietly
parent,don t eat it
parent,you added eyes to mr potato
parent,give me that
parent,what is in this truck what do you see
child,truck
parent,you put the person in the house
parent,i 've never seen you be so careful
parent,because yours is so pretty
parent,take this over there
parent,tell me what you want to play
parent,why do n't you hand me the block
parent,why do n't you stop shouting
parent,if you do that again i'm going to take out the switch
parent,bring it here
parent,do you want to build with the trains
parent,put it right there on the table
parent,that 's stupid
parent,what are you making
parent,the baby is sleeping
parent,fun
parent,no whining
child,yeah
parent,oh no
parent,you still have more to pick up
child,this dog 's name is daisy
parent,what did you call her
parent,that 's a big apple
parent,thanks for giving me one
parent,ow
parent,you 're a good helper to clean up those toys
parent,it 's time to leave
child,fat woman
parent,you are naughty
parent,ooops
parent,is that a fire truck
child,what did you say
parent,i said now you are drawing a big bird
child,i drew a house
parent,i see your house
parent,i see you trying to move it over
parent,i need a few more of those big ones
parent,can you hand me the green crayon
parent,what
parent,is it for you or for me
parent,you think you need more paper
child,i ca n't put the puzzle together
parent,you 're trying to put that puzzle together
parent,you have a red block
parent,nice
parent,let 's play with the cars now
child,a little bit
parent,a little bit
parent,what does the cow say
parent,put the toys in the box
parent,can you please put that back
child,i do n't like this color
parent,you do n't like blue
child,i do n't want to go to the dentist today
parent,i know you do n't want to see the dentist
parent,do you have the red one
child,will you pick up the toy soldiers
parent,no you pick them up
parent,you are taking my temperature
parent,no thank you
child,child building
parent,you 're putting all the blocks on top of each other
child,where cow go
parent,you are singing a song
child,i do n't like this toy
parent,then what do you want to do
child,rawr (child draws a dinosaur)
parent,you drew a big dinosaur
parent,if you keep minding so well i 'll make brownies for dessert tonight
parent,let me fix it
child,"well i wait , what s this"
parent,that s a race car
parent,you 're the best
child,yeah
parent,oh
parent,i like playing with play doh
child,all of these cars all of these like cars
parent,wow
parent,oh
parent,build a tower and
child,i m not very good at doing this
parent,ugh
child,i have a red block
parent,you do have a red block
parent,you 're squeezing out the play doh
parent,so smart
parent,no no leave that alone
parent,love you
parent,you 're putting the person in the car right
parent,you 're stacking the blue block
parent,there you go (some might not consider this a praise)
parent,now you 're rolling it out to make your pizza
child,that swiss cheese
parent,you 're being careless
parent,what s this
parent,sally is coloring
parent,talk louder
parent,and another one
child,sometimes my truck was broken
parent,hmm
child,blue
parent,think about it you decide what color the house will be
parent,you 're looking for another block
parent,do you like it
parent,where should this one go
child,two
parent,i wonder which one it is
child,no mommy ill do one now
parent,wont you
parent,you got to tie them all together with these single blocks
child,he is mean
parent,why is he so mean
parent,i do n't know
parent,you 're feeling loving toward the cat
child,was i supposed to put this here
parent,it 's correct
parent,you 're playing with trains now
parent,do we stand on the chair
child,why not
parent,you are still not using exactly the right colors for the american flag
parent,that 's not how that toy works
child,"really , really , really chocolate syrup"
parent,"really , really , really chocolate syrup"
parent,aww i like how you are holding the baby
parent,nice work
child,i love playing with cars
parent,you do n't play with the cars we have at home
parent,i 'll play with the blue blocks
parent,give it to me
parent,and i m going to go down the big slide
child,what nex dad
parent,look at it
parent,do you like coloring
parent,you 're being very sweet with that baby doll
child,i hate you
parent,you are feeling angry right now
parent,let 's play with cars
parent,pick up that toy over there
child,i went to the zoo
parent,i went to the library today
parent,what is her name
parent,how about you get your shoes on
parent,do you want to get the crayons
parent,that does n't go there
parent,good job coloring
parent,do n't climb on there
parent,you got the block
child,we gonna have some ho we gonna have some pancakes
parent,you are doing it incorrectly
child,food crunching noises
parent,similar food crunching noises
child,this is fun
parent,it is fun
parent,let 's clean up the toys
parent,i m just kidding
child,i love the teddy bear they have in the cupboard
parent,you think that teddy in the cupboard is pretty cool
child,daddy no you say
parent,pick up the toy
parent,"ears are kind of important , huh"
parent,that 's a big apple you drew
parent,you put that there
parent,i'm going to be the doctor now
child,you 're favorite color is blue right
parent,yep it 's blue
parent,just you and me playing
parent,thank you sweetie
parent,if you stop fussing i 'll get out the new toys
parent,barns are red
parent,of course you always do this
